Date,KC0,KC1,KC2,ML1,ML2,WI0,WI1,WI2,LI0,LI1,LI2
1/8/20,,80,41,82,125,,,,,,
1/10/20,174,86,107,260,121,,,,,,
1/12/20,481,253,398,284,65,,,,,,
1/15/20,836,456,682,385,531,,,,,,
1/17/20,231,316,199,388,467,,,,,,
1/19/20,215,520,502,577,1236,,,,,,
1/22/20,662,914,772,1274,1902,121,56,175,2,93,56
1/24/20,1090,1300,732,246,372,54,92,144,127,354,133
1/26/20,1019,618,660,389,193,182,127,220,99,168,138
1/29/20,1099,865,684,222,214,375,302,488,199,474,278
1/31/20,292,314,208,10,,538,569,636,361,390,392
2/2/20,327,501,204,25,,386,489,491,370,243,425
2/5/20,323,386,233,26,,514,496,651,187,516,278
2/7/20,110,9,157,,,381,8,134,128,78,127
2/9/20,185,87,55,,,545,52,172,94,27,264
2/12/20,292,249,343,,,311,17,56,87,144,487
2/14/20,98,154,294,,,9,12,21,186,171,57
2/16/20,213,251,69,,,3,2,14,43,95,23
2/19/20,431,197,634,,,,,3,24,19,22
2/21/20,177,48,321,,,,,,15,,
2/23/20,16,10,58,,,,,7,15,,
2/26/20,39,116,140,,,,,,14,,12
2/28/20,170,1,81,,,,1,2,,5,
3/1/20,3,95,159,,,,,3,,,
3/4/20,162,184,138,,,,,,,,
3/6/20,119,34,216,,,,,,,,
3/8/20,115,30,347,,,,,,,,
3/11/20,66,249,103,,,,,,,,
3/13/20,89,127,163,,,,,,,,
3/15/20,12,2,27,,,,,,,,
3/18/20,103,38,27,,,,,,,,
3/27/20,,,72,,,,,,,,
4/5/20,,101,,,,,,,,,
4/8/20,155,,38,,,,,,,,
4/10/20,66,,,,,,,,,,
4/12/20,12,,,,,,,,,,
