Date,KC0,KC1,KC2,ML1,ML2,WI0,WI1,WI2,LI0,LI1,LI2
12/25/19,,,,2,2,,,,,,
12/27/19,2,2,1,10,10,,,,,,
12/29/19,5,4,5,8,8,,,,,,
12/31/19,7,8,8,5,5,,,,,,
1/2/20,18,17,17,23,22,,,,,,
1/3/20,13,14,13,23,23,,,,,,
1/5/20,17,16,17,48,49,,,,,,
1/7/20,16,17,16,56,56,,,,,,
1/8/20,11,10,11,22,21,3,2,2,,,
1/10/20,19,19,19,32,32,8,9,9,6,6,5
1/12/20,26,27,26,21,22,9,9,8,11,11,11
1/14/20,20,20,20,,,14,14,15,10,10,11
1/16/20,15,15,15,,,22,21,21,16,15,15
1/18/20,5,5,6,,,54,55,54,30,31,31
1/20/20,6,6,6,,,39,39,39,39,38,38
1/22/20,4,4,4,,,30,30,30,41,41,41
1/24/20,1,1,1,,,20,20,21,26,27,27
1/26/20,3,3,3,,,21,21,20,26,26,25
1/28/20,4,4,4,,,19,19,20,21,20,21
1/30/20,3,3,3,,,9,9,9,7,8,8
1/31/20,2,2,2,,,,,,4,4,3
2/2/20,4,3,3,,,,,,9,8,9
2/4/20,,1,1,,,,,,2,3,3
2/6/20,5,5,4,,,,,,,,
2/8/20,8,8,9,,,,,,,,
2/9/20,2,1,1,,,,,,,,
2/11/20,1,2,2,,,,,,,,
2/13/20,1,,,,,,,,,,
2/15/20,,1,,,,,,,,,
2/17/20,2,1,2,,,,,,,,
2/19/20,2,2,2,,,,,,,,
2/21/20,2,3,3,,,,,,,,
2/23/20,3,3,2,,,,,,,,
2/25/20,2,2,3,,,,,,,,
2/27/20,4,4,3,,,,,,,,
2/28/20,,,1,,,,,,,,
3/1/20,1,1,1,,,,,,,,
3/3/20,2,2,1,,,,,,,,
3/5/20,1,1,2,,,,,,,,
3/6/20,1,,,,,,,,,,
3/8/20,,1,,,,,,,,,
3/12/20,1,,1,,,,,,,,
3/14/20,,1,,,,,,,,,
3/16/20,,,1,,,,,,,,
3/18/20,1,,,,,,,,,,
3/22/20,,1,1,,,,,,,,
3/24/20,1,,,,,,,,,,
3/26/20,1,2,1,,,,,,,,
3/28/20,1,1,1,,,,,,,,
3/31/20,,,1,,,,,,,,
4/2/20,1,1,,,,,,,,,
